XX,text
GEELS_FW_2011_THE_MULTI_LEVEL_PERSPECTI,"the multi-level perspective (mlp) has emerged as a fruitful middle-range framework for analysing socio-technical transitions to sustainability. the mlp also received constructive criticisms. this paper summarises seven criticisms, formulates responses to them, and translates these into suggestions for future research. the criticisms relate to: () lack of agency, () operationalization of regimes, () bias towards bottom-up change models, () epistemology and explanatory style, () methodology, () socio-technical landscape as residual category, and () flat ontologies versus hierarchical levels. elsevier b.v. all rights reserved."
FRENKEN_K_2017_PUTTING_THE_SHARING_ECONO,"we develop a conceptual framework that allows us to define the sharing economy and its close cousins and we understand its sudden rise from an economic-historic perspective. we then assess the sharing economy platforms in terms of the economic, social and environmental impacts. we end with reflections on current regulations and future alternatives, and suggest a number of future research questions. the author(s)"
KHLER_J_2019_AN_AGENDA_FOR_SUSTAINABIL,"research on sustainability transitions has expanded rapidly in the last ten years, diversified in terms of topics and geographical applications, and deepened with respect to theories and methods. this article provides an extensive review and an updated research agenda for the field, classified into nine main themes: understanding transitions; power, agency and politics; governing transitions; civil society, culture and social movements; businesses and industries; transitions in practice and everyday life; geography of transitions; ethical aspects; and methodologies. the review shows that the scope of sustainability transitions research has broadened and connections to established disciplines have grown stronger. at the same time, we see that the grand challenges related to sustainability remain unsolved, calling for continued efforts and an acceleration of ongoing transitions. transition studies can play a key role in this regard by creating new perspectives, approaches and understanding and helping to move society in the direction of sustainability. elsevier b.v."
HANSEN_T_2015_THE_GEOGRAPHY_OF_SUSTAINA,"this review covers the recent literature on the geography of sustainability transitions and takes stock with achieved theoretical and empirical insights. the review synthesises and reflects upon insights of relevance for sustainability transitions following from analyses of the importance of place specificity and the geography of inter-organisational relations. it is found that these contributions focus on the geography of niche development rather than regime dynamics, and that there is an emphasis on understanding the importance of place-specificity at the local level. while there is a wide consensus that place-specificity matters there is still little generalisable knowledge about how place-specificity matters for transitions. most contributions add spatial sensitivity to frameworks from the transitions literature, but few studies suggest alternative frameworks to study sustainability transitions. to address this, the review suggests promising avenues for future research on the geography of sustainability transitions, drawing on recent theoretical advancements in economic geography. elsevier b.v. all rights reserved."
MEADOWCROFT_J_2011_ENGAGING_WITH_THE_POLITIC,"although recent scholarship has contributed to our understanding of sustainability transitions, more needs to be done to grasp the politics of these processes. what works and what does not work is being sorted out in the world of practical politics. but social science could contribute by drawing lessons from political experience and offering theoretical insights. elsevier b.v. all rights reserved."
JACOBSSON_S_2011_INNOVATION_SYSTEM_ANALYSE,this paper argues () that technology-specific policies are necessary if we are to meet the climate challenge and () that a main contribution of innovation system (is) analysis to the study of sustainability transitions is that it allows policy makers to identify the processes and components in a system where intervention is likely to matter most. we demonstrate that an is framework can identify a diverse set of system weaknesses in the field of environmental innovation and identify five venues for further research that can help strengthen the framework and improve its application to environmental innovations. elsevier b.v. all rights reserved.
VAN_DEN_BERGH_JCJM_2011_ENVIRONMENTAL_INNOVATION,"this article introduces the new journal environmental innovation and societal transitions (eist). we consider its key terms and offer a survey of relevant theoretical and empirical insights, policy issues and research challenges. four theoretical approaches to studying sustainability transitions are identified. the treatise ends with a synopsis of the articles in this inaugural issue and a list of suggested research themes. elsevier b.v. all rights reserved."
BCKER_L_2017_SHARING_FOR_PEOPLE_PLANE,"the sharing economy is a fast-growing and heavily debated phenomenon. this study provides an overview of motivations of people willing to participate in different forms of the sharing economy. a survey was held amongst respondents from amsterdam, the netherlands. using stated preference data, we investigate the relative importance of () economic, () social and () environmental motivations to participate in peer-to-peer sharing. hereby we consider differences between (a) sectors of the sharing economy, (b) socio-demographic groups, and (c) users and providers. results are descriptive as well as based on ordered logit models. notable differences are observed in the motivations for sharing between sectors. to a lesser extent there is variety in sharing drivers between socio-demographic groups. finally, users seem more economically motivated than providers of goods. the author(s)"
RAVENA_R_2012_SPACE_AND_SCALE_IN_SOCIO,"the multi-level perspective (mlp) is a widely adopted framework for analysing stability, change and transitions in socio-technical systems. key to explanations of change is the interaction between nested levels (niche, regime, landscape) constituting socio-technical systems over time. this paper proposes a second generation, multi-scalar mlp that explicitly incorporates a spatial scale. recent developments in innovation studies and contributions from regional studies and geography are reviewed. we draw on notions of space as being relational, fluid and contested by institutionally situated actors. dynamics in socio-technical systems are explained not only by interactions between modes of structuration and developments over time, but also by interactions between actors and institutions situated across different levels of spatial scale. the paper explores the kinds of insights that might emerge from adopting a second generation mlp to socio-technical systems with a case study of biomass gasification in india. elsevier b.v."
SEYFANG_G_2014_A_GRASSROOTS_SUSTAINABLE,"system-changing innovations for sustainability transitions are proposed to emerge in radical innovative niches. 'strategic niche management' theory predicts that niche-level actors and networks will aggregate learning from local projects, disseminating best practice, and encouraging innovation diffusion. grassroots innovations emerging from civil society are under-researched, and so we investigate the uk community energy sector to empirically test this model. our analysis draws on qualitative case study research with local projects, and a study of how intermediary organisations support local projects. we examine the extent and nature of interactions and resource flows between projects and intermediary actors in order to evaluate the utility of niche theories in the civil society context. while networking and intermediary organisations can effectively spread some types of learning necessary for diffusion, this is not sufficient: tacit knowledge, trust and confidence are essential to these projects' success, but are more difficult to abstract and translate to new settings. we discuss the implications of our findings for niche theory, for community energy and other grassroots practitioners aiming to build robust influential niches, and for policymakers. the authors."
BERGEK_A_2015_TECHNOLOGICAL_INNOVATION,"this paper addresses interactions between technological innovation systems (tis) and wider ""context structures"". while tis studies have always considered various kinds of contextual influences, we suggest that the tis framework can be further strengthened by a more elaborated conceptualization of tis context structures and tis-context interactions. for that purpose, we identify and discuss four especially important types of context structures: technological, sectorial, geographical and political. for each of these, we provide examples of different ways in which context structures can interact with a focal tis and how our understanding of tis dynamics is enhanced by considering them explicitly. lessons for analysts are given and a research agenda is outlined. elsevier b.v. all rights reserved."
HOJNIK_J_2016_WHAT_DRIVES_ECO_INNOVATIO,"this paper provides an overview of the emerging literature on the drivers of eco-innovation. its main contribution lies in separating the drivers associated with the phases of development and diffusion and in identifying particular drivers based on different eco-innovation types. we find that research in this area primarily adopts the resource-based and institutional theories as its theoretical foundations and that the prevailing effects identified are those of regulations and market pull factors. moreover, product eco-innovation, process eco-innovation, organizational eco-innovation, and environmental r-and-d investments seem to be driven by common drivers, such as regulations, market pull factors, ems, and cost savings, as well as to be positively associated with company size. the majority of the studies in our literature review employ a quantitative research methodology and focus on the diffusion stage of eco-innovation. we end with providing a synthesis of drivers of companies' eco-innovation and directions for future research. elsevier b.v. all rights reserved."
PATTERSON_J_2017_EXPLORING_THE_GOVERNANCE,"the notion of transformations towards sustainability takes an increasingly central position in global sustainability research and policy discourse in recent years. governance and politics are central to understanding and analysing transformations towards sustainability. however, despite receiving growing attention in recent years, the governance and politics aspects of transformations remain arguably under-developed in the global sustainability literature. a variety of conceptual approaches have been developed to understand and analyse societal transition or transformation processes, including: socio-technical transitions, social-ecological systems, sustainability pathways, and transformative adaptation. this paper critically surveys these four approaches, and reflects on them through the lens of the earth system governance framework (biermann et al., ). this contributes to appreciating existing insights on transformations, and to identifying key research challenges and opportunities. overall, the paper brings together diverse perspectives, that have so far remained largely fragmented, in order to strengthen the foundation for future research on transformations towards sustainability. the authors"
BOCKEN_NMP_2016_TOWARDS_A_SUFFICIENCY_DRI,"business model innovation is an important lever for change to tackle pressing sustainability issues. in this paper, 'sufficiency' is proposed as a driver of business model innovation for sustainability. sufficiency-driven business models seek to moderate overall resource consumption by curbing demand through education and consumer engagement, making products that last longer and avoiding built-in obsolescence, focusing on satisfying 'needs' rather than promoting 'wants' and fast-fashion, conscious sales and marketing techniques, new revenue models, or innovative technology solutions. this paper uses a case study approach to investigate how companies might use sufficiency as a driver for innovation and asserts that there can be a good business case for sufficiency. business models of exemplar cases are analysed and insights are gained that will contribute to future research, policy makers and businesses interested in exploring sufficiency. the authors. published by elsevier b.v. this is an openaccess article under the cc by license."
RAVEN_R_2016_NICHE_CONSTRUCTION_AND_EM,"in the sustainability transitions literature the idea of 'protective space' shielding niche innovations from unfriendly selection environments is a fundamental concept. few studies pause to consider how and by whom such protective space is created, maintained or expanded. the paper develops three propositions to deepen our understanding of the 'outward-oriented socio-political work' performed by technology advocates. the paper conducts a meta-analysis of six low-carbon technology case studies in the uk and the netherlands. in each case, analysis finds the cases relevant to the propositions, but requiring finer nuance and further development. elsevier b.v. all rights reserved."
MURPHY_JT_2015_HUMAN_GEOGRAPHY_AND_SOCIO,"transition researchers recognize increasingly the need to better address the role that spatial and geographical factors play in guiding the evolution of socio-technical and technological innovation systems. at the same time, some geographers are being drawn to transition studies as they strive to better understand the development trajectories of cities, industries, production networks, and economies. building off these convergences, this paper proposes two interventions through which geographical ideas might further contribute to transitions research. the first focuses on conceptualizations of the socio-spatial dynamics through which tis or niche contexts are coupled or aligned effectively with socio-technical regimes such that regime shifts become possible. the second brings the concept of place-making to bear on transition studies in order to analyze the political processes that shape the evolution of socio-technical systems. the paper closes with general arguments about ways to expand and diversify the geography-of-sustainability-transitions epistemic community. elsevier b.v. all rights reserved."
MARKARD_J_2016_SOCIO_TECHNICAL_TRANSITIO,"policies and politics are an integral part of socio-technical transitions but have not received much attention in the transitions literature so far. drawing on the advocacy coalition framework, our paper addresses this gap with a study on actors and coalitions in swiss energy policy. our results show that advocacy coalitions in switzerland have largely remained stable despite the fukushima shock. however, heterogeneity of beliefs has increased and in , even a majority of actors expressed their support for the energy transition - an indication that major policy change might be ahead. it seems that in socio-technical transitions, changes in the policy issue and in the actor base also work toward policy change, next to changes in core beliefs. we make suggestions how the advocacy coalition framework can inform analysis and theory building in transition studies. we also present first ideas about the interplay of socio-technical systems and policy systems. elsevier b.v. all rights reserved."
GEELS_FW_2013_THE_IMPACT_OF_THE_FINANCI,"the paper distinguishes four views on the impact of the financial-economic crisis on sustainability transitions (operationalized as diffusion of green niche-innovations). the first three views highlight the possibility of positive impacts of the financial-economic crisis on sustainability transitions and joint solutions: (a) a comprehensive transformation of the capitalist system, (b) a green industrial revolution, linked to a sixth green kondratieff wave, and (c) green growth. the fourth view perceives the impact as mainly negative, because the financial-economic crisis weakens public, political and business attention for environmental problems. the paper confronts these views with secondary data on three analytical categories: () financial investment, () policy and governance, and () public opinion and civil society. data focus on renewable energy and climate policy in the uk, europe and the world. the paper concludes that the early crisis years (-) created a window of opportunity for positive solutions. but since - this window appears to be shrinking, with the financial-economic crisis having negative influences on sustainability transitions that may cause some slow-down. elsevier b.v. all rights reserved."
NIJLAND_H_2017_MOBILITY_AND_ENVIRONMENTA,"this research aims to quantify the effects of car sharing on car ownership, car use and co emissions. the results are based on a survey amongst car sharing respondents in the netherlands. we found over % less car ownership amongst car sharers and they drove % to % fewer car kilometres than prior to car sharing. the shared cars mostly replace a second or third car. due to reduced car ownership and car use, car sharers emit between and fewer kilograms of co per person, per year. this is between % and % of the co emissions related to car ownership and car use. elsevier b.v."
